,Country,Avg.income per year ($),Avg.income per month ($)
0,Bermuda,"117,740","9,812"
1,Norway,"78,250","6,521"
2,Macao,"75,610","6,301"
3,Iceland,"72,930","6,078"
4,United States,"65,910","5,493"
5,Ireland,"63,470","5,289"
6,Denmark,"62,720","5,227"
7,Singapore,"54,920","4,577"
8,Austria,"51,390","4,283"
9,Finland,"49,620","4,135"
10,Belgium,"47,960","3,997"
11,United Kingdom,"42,130","3,511"
12,Kuwait,"36,290","3,024"
13,Italy,"32,200","2,683"
14,Bahamas,"27,780","2,315"
15,Cyprus,"26,110","2,176"
16,Slovenia,"25,910","2,159"
17,Portugal,"22,000","1,833"
18,Greece,"19,690","1,641"
19,Saint Kitts and Nevis,"17,400","1,450"
20,Palau,"16,500","1,375"
21,Poland,"15,270","1,273"
22,Antigua and Barbuda,"14,250","1,188"
23,Croatia,"14,190","1,183"
24,Costa Rica,"11,460",955
25,Russia,"10,690",891
26,Malaysia,"10,580",882
27,Mauritius,"10,230",853
28,Bulgaria,"9,540",795
29,Turkey,"9,050",754
30,Argentina,"8,930",744
31,Kazakhstan,"8,680",723
32,Mexico,"8,480",707
33,Serbia,"7,400",617
34,Saint Vincent and the Grenadines,"7,340",612
35,Turkmenistan,"7,220",602
36,Belarus,"6,330",528
37,Lebanon,"5,510",459
38,Guatemala,"4,490",374
39,Jordan,"4,310",359
40,Samoa,"4,070",339
41,Micronesia,"4,010",334
42,Sri Lanka,"3,720",310
43,West Bank,"3,710",309
44,Eswatini,"3,580",298
45,Ukraine,"3,540",295
46,Djibouti,"3,320",277
47,Bhutan,"2,860",238
48,Vanuatu,"2,780",232
49,Ghana,"2,230",186
50,Sao Tome and Principe,"2,070",173
51,India,"1,900",158
52,Congo,"1,830",153
53,Syria,"1,820",152
54,Mauritania,"1,640",137
55,Cameroon,"1,500",125
56,Cambodia,"1,490",124
57,Comoros,"1,450",121
58,Pakistan,"1,280",107
59,Burma,"1,260",105
60,Zambia,"1,190",99
61,Tajikistan,"1,060",88
62,Guinea,"1,020",85
63,Mali,830,69
64,Guinea-Bissau,760,63
65,Chad,660,55
66,Eritrea,600,50
67,Sierra Leone,490,41
68,Madagascar,480,40
